Iteration 0: Best Path: ['22', '11', '27', '16', '28', '24', '17', '5', '6', '1', '4', '9', '7', '10', '3', '13', '25', '8', '2', '14', '21', '23', '15', '26', '12', '18', '29', '19', '20'], Best Score = 82631.1067056984
Iteration 1: Best Path: ['23', '13', '11', '22', '25', '24', '14', '5', '6', '1', '4', '10', '7', '12', '8', '16', '27', '2', '3', '18', '28', '17', '20', '26', '15', '21', '29', '9', '19'], Best Score = 79834.53500471041
Iteration 2: Best Path: ['24', '26', '22', '19', '28', '27', '16', '4', '9', '6', '5', '13', '7', '10', '2', '11', '23', '8', '3', '17', '21', '29', '25', '12', '1', '15', '18', '20', '14'], Best Score = 79069.56997256947
Iteration 3: Best Path: ['24', '26', '22', '19', '28', '27', '16', '4', '9', '6', '5', '13', '7', '10', '2', '11', '23', '8', '3', '17', '21', '29', '25', '12', '1', '15', '18', '20', '14'], Best Score = 79069.56997256947
Iteration 4: Best Path: ['24', '26', '22', '19', '28', '27', '16', '4', '9', '6', '5', '13', '7', '10', '2', '11', '23', '8', '3', '17', '21', '29', '25', '12', '1', '15', '18', '20', '14'], Best Score = 79069.56997256947
Iteration 5: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 6: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 7: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 8: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 9: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 10: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 11: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 12: Best Path: ['25', '17', '20', '24', '23', '28', '12', '6', '8', '2', '1', '7', '5', '11', '4', '13', '19', '9', '3', '14', '21', '18', '26', '29', '10', '15', '22', '16', '27'], Best Score = 67486.86898472134
Iteration 13: Best Path: ['23', '17', '19', '20', '18', '29', '11', '4', '5', '2', '1', '6', '8', '9', '3', '13', '21', '7', '12', '28', '22', '24', '26', '14', '10', '15', '25', '16', '27'], Best Score = 65799.67058741364
